state,0
District of Columbia,8412.441176470587
Puerto Rico,1084.0981507823612
New Jersey,966.5926393029122
Rhode Island,679.7851132686084
Connecticut,615.3998917748918
Massachusetts,602.66262434865
Maryland,428.06754251632145
Delaware,402.442681678608
New York,348.81652134006424
Pennsylvania,266.7109514090929
Ohio,253.4920808423307
Florida,244.0389762462362
Illinois,214.685607237819
California,207.6146835504896
Indiana,167.2670510708402
Virginia,166.14409969837968
North Carolina,150.15726203526503
Georgia,138.41124812839624
Tennessee,135.33239216058465
New Hampshire,132.5935194096888
South Carolina,125.72946542943731
Hawaii,111.00612879619466
Michigan,102.80394587336019
Kentucky,100.19601098710747
Louisiana,86.25822193931678
Alabama,84.92785609369933
Washington,82.89289370713715
Wisconsin,82.04202860937667
Missouri,80.43846562136883
Texas,77.9762510191697
West Virginia,74.57475960546408
Vermont,63.40280811232449
Mississippi,58.808956518148406
Minnesota,56.74628204685828
Iowa,52.04824436704812
Arkansas,50.36643977285548
Oklahoma,49.41654864598086
Arizona,45.26591582899146
Colorado,41.565043227665704
Maine,36.08873315059203
Oregon,34.859715813225456
Kansas,32.737184317347655
Utah,26.43576274380477
Nebraska,22.154399027896275
Nevada,18.25807881194208
Idaho,15.548256634838586
New Mexico,14.977868791789001
South Dakota,9.800754658264285
North Dakota,9.080433921701742
Montana,6.146192347972743
Wyoming,5.0532621807847224
Alaska,0.9566408957611303
